CookedName,RawName,UsedFor
SequenceNumber,"#",~mp3~all~
ThirtyFiveMmFocalLength,"35mmFocalLength",~jpg~all~
AccountName,AccountName,~all~
Album,Album,~mp3~all~
AlbumArtist,AlbumArtist,~mp3~all~
AlbumID,AlbumID,~mp3~all~
Anniversary,Anniversary,~Contact~all~
AssistantsName,"Assistant'sName",~Contact~all~
AssistantsPhone,"Assistant'sPhone",~Contact~all~
Attachments,Attachments,~Email~all~
Attributes,Attributes,~General~all~
Authors,Authors,~all~
Autosummary,Autosummary,~all~
Availability,Availability,~Contact~all~
Bcc,Bcc,~Email~all~
BccAddresses,BccAddresses,~Email~all~
BeatsPerMinute,"Beats-per-minute",~mp3~all~
BillingInformation,BillingInformation,~Contact~all~
Birthday,Birthday,~Contact~all~
BitDepth,BitDepth,~mp3~all~
BitRate,BitRate,~mp3~all~
BroadcastDate,BroadcastDate,~tv~all~
BusinessAddress,BusinessAddress,~Contact~all~
BusinessCity,BusinessCity,~Contact~all~
BusinessCountryOrRegion,"BusinessCountry/Region",~Contact~all~
BusinessCountyOrRegion,"BusinessCounty/Region",~Contact~all~
BusinessFax,BusinessFax,~Contact~all~
BusinessHomepage,BusinessHomepage,~Contact~all~
BusinessPOBox,"BusinessP.O.Box",~Contact~all~
BusinessPhone,BusinessPhone,~Contact~all~
BusinessPostcode,BusinessPostcode,~Contact~all~
BusinessStreet,BusinessStreet,~Contact~all~
ByLocation,ByLocation,~all~
CallBackNumber,"Call-BackNumber",~Contact~all~
CameraMaker,CameraMaker,~jpg~all~
CameraModel,CameraModel,~jpg~all~
CarPhone,CarPhone,~Contact~all~
Categories,Categories,~Contact~all~
Cc,Cc,~Contact~all~
CcAddresses,CcAddresses,~Contact~all~
ChannelNumber,ChannelNumber,~tv~all~
Children,Children,~Contact~all~
City,City,~Contact~all~
Classification,Classification,~General~all~
ClientID,ClientID,~Contact~all~
ClosedCaptioning,ClosedCaptioning,~tv~all~
Colour,Colour,~jpg~all~
Comments,Comments,~mp3~General~all~
Company,Company,~Contact~all~
CompanyMainphone,CompanyMainphone,~Contact~all~
Complete,Complete,~General~all~
Composers,Composers,~mp3~all~
Computer,Computer,~General~all~
Conductors,Conductors,~mp3~all~
Connected,Connected,~Contact~all~
ContactNames,ContactNames,~Contact~all~
ContentCreated,ContentCreated,~General~all~
ContentStatus,ContentStatus,~General~all~
ContentType,ContentType,~General~all~
ContributingArtists,ContributingArtists,~mp3~all~
Contributors,Contributors,~General~all~
ConversationID,ConversationID,~all~
Copyright,Copyright,~mp3~General~all~
CountryOrRegion,"Country/Region",~Contact~all~
CountyOrRegion,"County/Region",~Contact~all~
Creators,Creators,~mp3~General~all~
DataRate,DataRate,~General~all~
Date,Date,~General~all~
DateAccessed,DateAccessed,~General~all~
DateAcquired,DateAcquired,~General~all~
DateArchived,DateArchived,~General~all~
DateCompleted,DateCompleted,~General~all~
DateCreated,DateCreated,~General~all~
DateLastSaved,DateLastSaved,~General~all~
DateModified,DateModified,~General~all~
DateReceived,DateReceived,~General~all~
DateReleased,DateReleased,~General~all~
DateSent,DateSent,~Email~all~
DateTaken,DateTaken,~jpg~all~
DateVisited,DateVisited,~Contact~all~
Department,Department,~General~all~
Description,Description,~mp3~General~all~
Devicecategory,Devicecategory,~General~all~
Dimensions,Dimensions,~jpg~all~
Directors,Directors,~tv~all~
DiscoveryMethod,DiscoveryMethod,~all~
Division,Division,~Contact~all~
DocumentID,DocumentID,~General~all~
DueDate,DueDate,~task~all~
Duration,Duration,~task~all~
Email2,Email2,~Contact~all~
Email3,Email3,~Contact~all~
EmailAddress,EmailAddress,~Contact~all~
EmailDisplayname,EmailDisplayname,~Contact~all~
EmailList,EmailList,~Contact~all~
EncodedBy,EncodedBy,~mp3~General~all~
EncryptedTo,EncryptedTo,~Email~all~
EncryptionStatus,EncryptionStatus,~Email~all~
EndDate,EndDate,~task~all~
EntryType,EntryType,~all~
EpisodeName,EpisodeName,~tv~all~
EpisodeNumber,EpisodeNumber,~tv~all~
Event,Event,~General~all~
ExifVersion,ExifVersion,~jpg~all~
